bikky_location_id,brand,name,address,url,latitude,longitude,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thur_open,thur_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close,currently_open
1,16 Handles,CHELSEA,"178 8th Avenue, New York, NY 10011",https://order.16handles.com,40.743156,-74.000085,12:30,22:30,12:30,22:30,12:30,22:30,12:30,22:30,12:30,22:30,12:00,23:30,12:30,22:30,0
2,16 Handles,EAST VILLAGE ,"153 2nd Avenue, New York, NY 10003",https://order.16handles.com,40.729863,-73.98726,12:30,22:30,12:30,22:30,12:30,22:30,12:30,22:30,12:30,22:30,12:00,23:30,12:30,22:30,0
3,16 Handles,MURRAY HILL,"428 3rd Avenue, New York, NY 10016",https://order.16handles.com,40.743463,-73.980303,12:30,22:30,12:30,22:30,12:30,22:30,12:30,22:30,12:30,22:30,12:00,23:30,12:30,22:30,0
4,16 Handles,WILLIAMSBURG ,"139 N 7th St, Williamsburg, NY 11249",https://order.16handles.com,40.718603,-73.958296,13:30,22:00,13:30,22:00,13:30,22:00,13:30,22:00,13:30,22:00,13:30,22:00,13:30,22:00,1
5,16 Handles,UPPER EAST SIDE 1ST AVE ,"1161 1st Avenue, New York, NY 10065",https://16handles.revelup.com/weborder/?establishment=2,40.762811,-73.960033,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,0
6,16 Handles,UPPER EAST SIDE 2ND AVE,"1569 2nd Ave, New York, NY 10028",https://16handles.revelup.com/weborder/?establishment=1,40.775301,-73.954209,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,0
7,16 Handles,UPPER WEST SIDE AMSTERDAM ,"325 Amsterdam Ave, New York, NY 10023",https://16handles.revelup.com/weborder/?establishment=3,40.780934,-73.979738,12:00,22:30,12:00,22:30,12:00,22:30,12:00,22:30,12:00,23:30,12:00,23:30,12:00,22:30,0
8,16 Handles,UPPER WEST SIDE BROADWAY,"2600 Broadway, New York, NY 10025",https://16handles.revelup.com/weborder/?establishment=4,40.796109,-73.970376,6:00,22:00,6:00,22:00,6:00,22:00,18:00,22:00,18:00,12:00,18:00,12:00,18:00,22:00,0
9,16 Handles,Fairfield,"1300 Post Road, Fairfield, CT 06824",call: (203) 292-9841,41.1428269,-73.2553485,13:00,21:00,13:00,21:00,13:00,21:00,13:00,21:00,13:00,22:00,13:00,22:00,13:00,21:00,1
10,16 Handles,Garden City,"3 Nassau Blvd, Garden City, NY 11530",call: (516) 746-0594,40.7173041,-73.6607704,14:00,22:00,14:00,22:00,12:00,19:00,14:00,22:00,14:00,22:00,14:00,22:00,14:00,22:00,1
11,16 Handles,Great Neck,"40 Middle Neck Road, Great Neck, NY 11021",call: (516) 858-0405,40.7876349,-73.7288313,,,,,,,,,12:00,21:00,12:00,21:00,12:00,21:00,1
12,16 Handles,Hoboken,"1185 Maxwell Place, Hoboken, NJ 07030",call: (201) 217-0858,40.7496041,-74.0240775,12:00,20:00,12:00,20:00,12:00,20:00,12:00,20:00,12:00,20:00,12:00,20:00,12:00,20:00,1
13,16 Handles,Lynbrook,"27 Atlantic Ave, Lynbrook, NY 11563",https://order.16handles.com,40.6561734,-73.6718252,13:00,21:00,13:00,21:00,13:00,21:00,13:00,21:00,13:00,21:00,13:00,21:00,13:00,21:00,1
14,16 Handles,New City,"170 South Main Street, New City, NY 10956",https://order.16handles.com,41.1413631,-73.9895225,13:00,20:30,13:00,20:30,13:00,20:30,13:00,20:30,13:00,20:30,13:00,20:30,13:00,20:30,1
15,16 Handles,New Rochelle,"77 Quaker Ridge Road, New Rochelle, NY 10804",call: (914) 278-9518,40.9487029,-73.7922117,14:30,19:30,14:30,19:30,14:30,19:30,14:30,19:30,14:30,19:30,14:30,19:30,14:30,19:30,1
16,16 Handles,Port Washington,"1005 Port Washington Blvd, Port Washington, NY 11050",call: (516) 439-4715,40.8303599,-73.6837419,,,,,,,,,12:00,21:00,12:00,21:00,12:00,21:00,1
17,16 Handles,Stamford,"219 Bedford Street, Stamford, CT 06901",https://order.16handles.com,41.0567114,-73.5379183,13:00,21:30,13:00,21:30,13:00,21:30,13:00,21:30,13:00,22:30,13:00,22:30,13:00,21:30,1
18,16 Handles,White Plains,"361 Mamaroneck Ave, White Plains, NY 10605",call: (914) 607-7783,41.0242108,-73.7626329,14:30,19:30,14:30,19:30,14:30,19:30,14:30,19:30,14:30,19:30,14:30,19:30,14:30,19:30,1
19,Bareburger,57th Street,"313 West 57th Street, New York, NY 10019",https://order.bareburger.com,40.7672248,-73.9834946,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,1
20,Bareburger,73rd & 1st,"1370 1st Ave, New York, NY 10021",https://order.bareburger.com,40.768505,-73.9551912,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,1
21,Bareburger,87th & 1st,"1681 1st Ave, New York, NY 10128",https://order.bareburger.com,40.777764,-73.9490386,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,1
22,Bareburger,8th Ave,"184 8th Ave, New York, NY 10011",https://order.bareburger.com,40.7429581,-73.9998367,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,1
23,Bareburger,Astoria,"33-21 31st Ave, Long Island City, NY 11103",https://order.bareburger.com,40.7634391,-73.9210702,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,1
24,Bareburger,Atlanta,"715 Peachtree Street NE, Atlanta, GA 30308",https://order.bareburger.com,33.7741465,-84.3844369,12:00,15:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,1
25,Bareburger,Bayside,"42-38 Bell Blvd, Bayside, NY 11361",https://order.bareburger.com,40.7617409,-73.770331,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,1
26,Bareburger,Clintonville,"4560 N High Street, Columbus, OH 43214",https://order.bareburger.com,40.0551923,-83.0196162,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,1
27,Bareburger,Closter,"129 Veralen Street, Closter, NJ 07624",https://order.bareburger.com,40.9687804,-73.9553636,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,1
28,Bareburger,Court Street,"149 Court Street, Brooklyn, NY 11201",https://order.bareburger.com,40.6891984,-73.9923831,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,1
29,Bareburger,Ditmars,"23-01 31st Street, Astoria, NY 11105",https://order.bareburger.com,40.7741608,-73.9128057,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,1
30,Bareburger,Edgewater,"78 The Promenade, Edgewater, NJ 07020",https://order.bareburger.com,40.806088,-73.988099,12:00,20:00,12:00,20:00,12:00,20:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,1
31,Bareburger,Forest Hills,"7149 Austin Street, Forest Hills, NY 11375",https://order.bareburger.com,40.7196479,-73.8429965,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,1
32,Bareburger,Hartsdale,"265 N Central Ave, Hartsdale, NY 10530",https://order.bareburger.com,41.0267544,-73.7933446,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,1
